Date_Object,Total_Power_Generation
2019-02-01,112.22261
2019-03-01,107.36345
2019-04-01,91.67904
2019-07-01,107.53155
2019-08-01,105.01283
2019-09-01,103.9912
2019-10-01,98.06368
2019-11-01,93.34628999999998
2019-12-01,98.93263
2020-01-01,102.90556
2020-02-01,100.90923
2020-03-01,95.95662
2020-04-01,80.78722
2020-05-01,95.71742
2020-06-01,98.92772
2020-07-01,106.72819
2020-08-01,101.57431
2020-09-01,108.76015
2020-10-01,106.76789
2020-11-01,94.78312
2020-12-01,103.4648
2021-01-01,108.36976
2021-02-01,101.32039
2021-03-01,118.64117
2021-04-01,115.3267
2021-05-01,103.25895
2021-06-01,105.3382
2021-07-01,114.78516
2021-08-01,119.64176
2021-09-01,106.98126
2021-10-01,110.0577
2021-11-01,96.47723
2021-12-01,105.81301
2022-01-01,107.84601
2022-02-01,104.17631
2022-03-01,123.75158
2022-04-01,126.64498
2022-05-01,124.8218
2022-06-01,123.43167
2022-07-01,117.83792
2022-08-01,120.22088
2022-09-01,118.72502
2022-10-01,108.58351
2022-11-01,108.21292
2022-12-01,115.43459
2023-01-01,118.57578
2023-02-01,111.50045
2023-03-01,120.18101
2023-04-01,123.8149
2023-05-01,126.46987
2023-06-01,126.76403
2023-07-01,125.05442
2023-08-01,136.39555
2023-09-01,129.66906999999998
2023-10-01,132.99263
2023-11-01,114.71275
2023-12-01,115.93517
